"","Year","Area","Street","Street.2"
"104",2011,"Birmingham","Hunters̴Moon̴Public̴house.","Hunters Moon Public house."
"105",2011,"Birmingham","Hurst̴Street","Hurst Street"
"106",2011,"Birmingham","Hurst̴Street","Hurst Street"
"107",2011,"Birmingham","Hurst̴Street","Hurst Street"
"108",2011,"Birmingham"," Hurst̴Street,̴Birmingham"," Hurst Street, Birmingham"
"109",2011,"Birmingham","Kings̴Heath̴High̴Street","Kings Heath High Street"
"110",2011,"Birmingham"," KNOWLE̴RD,̴SMALL̴HEATH,̴BHAM"," KNOWLE RD, SMALL HEATH, BHAM"
"111",2011,"Birmingham","ladypool̴Road","ladypool Road"
"112",2011,"Birmingham","ladypool̴Road","ladypool Road"
"113",2011,"Birmingham","Ladywell̴Walk","Ladywell Walk"
"114",2011,"Birmingham","Lea̴Hall̴RD","Lea Hall RD"
"115",2011,"Birmingham","Lea̴Hall̴rd","Lea Hall rd"
"116",2011,"Birmingham"," Lea̴Village,̴Stechford"," Lea Village, Stechford"
"117",2011,"Birmingham"," Lenches̴Close,̴Mosley"," Lenches Close, Mosley"
"118",2011,"Birmingham","Lime̴Tree̴Road","Lime Tree Road"
"119",2011,"Birmingham","Lode̴Lane̴@̴Hermitage̴Road","Lode Lane @ Hermitage Road"
"120",2011,"Birmingham","Long̴street","Long street"
"121",2011,"Birmingham","Long̴Street.̴Sparkhill","Long Street. Sparkhill"
"122",2011,"Birmingham","Longbridge̴Lane","Longbridge Lane"
"123",2011,"Birmingham"," LONGMEADOW̴CRESCENT̴SHARD̴END̴,̴BHAM"," LONGMEADOW CRESCENT SHARD END , BHAM"
"124",2011,"Birmingham","Maccadown̴Lane","Maccadown Lane"
"125",2011,"Birmingham","masshouse̴lane","masshouse lane"
"126",2011,"Birmingham","Meadwaym̴Stechford","Meadwaym Stechford"
"127",2011,"Birmingham"," Mickleover̴Road,̴Bromford"," Mickleover Road, Bromford"
"128",2011,"Birmingham","moorcroft̴road","moorcroft road"
"129",2011,"Birmingham","Moseley̴Road","Moseley Road"
"130",2011,"Birmingham","moseley̴road","moseley road"
"131",2011,"Birmingham","moseley̴road","moseley road"
"132",2011,"Birmingham","moseley̴road","moseley road"
"133",2011,"Birmingham","Moseley̴Village","Moseley Village"
"134",2011,"Birmingham","Moseley̴Village","Moseley Village"
"135",2011,"Birmingham"," Moseley̴Village,̴Alcester̴road"," Moseley Village, Alcester road"
"136",2011,"Birmingham"," Mosley̴All̴Services̴Club,̴Church̴Road,̴Moseley."," Mosley All Services Club, Church Road, Moseley."
"137",2011,"Birmingham","Nearlands̴Close̴Quinton","Nearlands Close Quinton"
"138",2011,"Birmingham","new̴street","new street"
"139",2011,"Birmingham","Northfield̴High̴Street","Northfield High Street"
"140",2011,"Birmingham"," O/S̴BEHANS,̴HIGHFIELD̴ROAD,̴BILLESLEY"," O/S BEHANS, HIGHFIELD ROAD, BILLESLEY"
"141",2011,"Birmingham"," O/S̴The̴junction,̴Mosley̴Village"," O/S The junction, Mosley Village"
"142",2011,"Birmingham","O/S̴Washwood̴Heath̴road","O/S Washwood Heath road"
"143",2011,"Birmingham"," Oakhill̴Road,̴Acocks̴Green"," Oakhill Road, Acocks Green"
"144",2011,"Birmingham","Opp̴white̴hart̴lane̴cooks̴lane","Opp white hart lane cooks lane"
"145",2011,"Birmingham"," Opposite,̴ALDI,̴Stratford̴Road"," Opposite, ALDI, Stratford Road"
"146",2011,"Birmingham","Outside̴Java̴lounge̴Alcester̴Road","Outside Java lounge Alcester Road"
"147",2011,"Birmingham","Outside̴O2̴Academy̴Night̴Club̴B'ham̴City̴Centre","Outside O2 Academy Night Club B'ham City Centre"
"148",2011,"Birmingham","outside̴raven̴public̴house","outside raven public house"
"149",2011,"Birmingham"," Packington̴Avenue,̴Shard̴End"," Packington Avenue, Shard End"
"150",2011,"Birmingham","park̴off̴hob̴moor̴road","park off hob moor road"
"151",2011,"Birmingham","Parkhall̴Croft","Parkhall Croft"
"152",2011,"Birmingham","Pear̴Tree̴PH","Pear Tree PH"
"153",2011,"Birmingham","Police̴station","Police station"
"154",2011,"Birmingham","Police̴Station̴Stechford","Police Station Stechford"
"155",2011,"Birmingham","poplar̴road","poplar road"
"156",2011,"Birmingham","Poplar̴road","Poplar road"
"157",2011,"Birmingham"," poplar̴road̴,̴solihull"," poplar road , solihull"
"158",2011,"Birmingham"," poplar̴road,̴solihull"," poplar road, solihull"
"159",2011,"Birmingham","Preston̴Road","Preston Road"
"160",2011,"Birmingham"," Priory̴Road,̴Hall̴Green"," Priory Road, Hall Green"
"161",2011,"Birmingham","prospect̴road","prospect road"
"162",2011,"Birmingham","queenswood̴road","queenswood road"
"163",2011,"Birmingham"," rear̴of̴boots,̴high̴street"," rear of boots, high street"
"164",2011,"Birmingham"," REDDINGS̴LANE,̴TSYLEY"," REDDINGS LANE, TSYLEY"
"165",2011,"Birmingham"," Richmond̴Primary̴Care̴Centre,̴Richmond̴Road,̴Stechford"," Richmond Primary Care Centre, Richmond Road, Stechford"
"166",2011,"Birmingham"," ring̴road,̴stourbridge"," ring road, stourbridge"
"167",2011,"Birmingham"," sainsburys,̴wawrick̴road"," sainsburys, wawrick road"
"168",2011,"Birmingham","sainsburys.̴alcester̴road̴south","sainsburys. alcester road south"
"169",2011,"Birmingham","Sandford̴Road̴Moseley","Sandford Road Moseley"
"170",2011,"Birmingham","Sarehole̴Mill","Sarehole Mill"
"171",2011,"Birmingham","Sedgemere̴Road","Sedgemere Road"
"172",2011,"Birmingham","Shirley̴Road","Shirley Road"
"173",2011,"Birmingham","SHirley̴Road","SHirley Road"
"174",2011,"Birmingham","Snow̴Hill","Snow Hill"
"175",2011,"Birmingham","Solihull̴Lane","Solihull Lane"
"176",2011,"Birmingham"," St̴Mary's̴Road,̴Moseley"," St Mary's Road, Moseley"
"177",2011,"Birmingham","St̴Marys̴Row","St Marys Row"
"178",2011,"Birmingham","station̴road","station road"
"179",2011,"Birmingham"," Station̴Way,̴Birmingham̴International̴rail̴Station"," Station Way, Birmingham International rail Station"
"180",2011,"Birmingham","Stechford̴front̴office","Stechford front office"
"181",2011,"Birmingham","Stechford̴P.S.","Stechford P.S."
"182",2011,"Birmingham","Stechford̴Retail̴Park.","Stechford Retail Park."
"183",2011,"Birmingham","Stonehenge̴croft̴Druids̴heath","Stonehenge croft Druids heath"
"184",2011,"Birmingham","Stoney̴Lane","Stoney Lane"
"185",2011,"Birmingham","Stoney̴Lane","Stoney Lane"
"186",2011,"Birmingham","stoney̴lane","stoney lane"
"187",2011,"Birmingham"," STRATFORD̴HEATH,̴SPARK̴HILL,̴BIRMINGHAM"," STRATFORD HEATH, SPARK HILL, BIRMINGHAM"
"188",2011,"Birmingham","stratford̴road","stratford road"
"189",2011,"Birmingham","Stratford̴road","Stratford road"
"190",2011,"Birmingham","Stratford̴Road","Stratford Road"
"191",2011,"Birmingham"," stratford̴road,̴hall̴green"," stratford road, hall green"
"192",2011,"Birmingham","stratford̴roads","stratford roads"
"193",2011,"Birmingham"," Stuart̴Road,̴Stechford"," Stuart Road, Stechford"
"194",2011,"Birmingham","talbort̴street","talbort street"
"195",2011,"Birmingham","Taunton̴Road","Taunton Road"
"196",2011,"Birmingham","Tavistock̴road","Tavistock road"
"197",2011,"Birmingham","The̴avenue","The avenue"
"198",2011,"Birmingham","The̴paer̴tree̴pub","The paer tree pub"
"199",2011,"Birmingham","Trafalger̴Road","Trafalger Road"
"200",2011,"Birmingham","Wake̴green̴Road","Wake green Road"
"201",2011,"Birmingham","Ward̴End̴Road","Ward End Road"
"202",2011,"Birmingham","Warwick̴Road","Warwick Road"
"203",2011,"Birmingham","Warwick̴Road","Warwick Road"
"204",2011,"Birmingham","Warwick̴Road","Warwick Road"
"205",2011,"Birmingham","Warwick̴Road","Warwick Road"
"206",2011,"Birmingham","Warwick̴Road","Warwick Road"
"207",2011,"Birmingham","Warwick̴Road̴Tysley","Warwick Road Tysley"
"208",2011,"Birmingham","Wash̴lane","Wash lane"
"209",2011,"Birmingham","Washford̴Heath̴Road","Washford Heath Road"
"210",2011,"Birmingham","Washwood̴Heath̴pub","Washwood Heath pub"
"211",2011,"Birmingham"," WASHWOOD̴HEATH̴RD,̴WASHWOOD̴HEATH,̴BHAM"," WASHWOOD HEATH RD, WASHWOOD HEATH, BHAM"
"212",2011,"Birmingham","Washwood̴Heath̴road","Washwood Heath road"
"213",2011,"Birmingham","Washwood̴Heath̴Road","Washwood Heath Road"
"214",2011,"Birmingham","Washwood̴Heath̴Road","Washwood Heath Road"
"215",2011,"Birmingham","Washwood̴Heath̴Road","Washwood Heath Road"
"216",2011,"Birmingham"," Watery̴Lane̴Middleway,̴Birmingham"," Watery Lane Middleway, Birmingham"
"217",2011,"Birmingham","wawrick̴road","wawrick road"
"218",2011,"Birmingham"," Welshfarm̴Road,̴Quinton"," Welshfarm Road, Quinton"
"219",2011,"Birmingham","Westley̴Road","Westley Road"
"220",2011,"Birmingham"," Westley̴Road,̴Acocks̴Green"," Westley Road, Acocks Green"
"221",2011,"Birmingham","White̴Hart̴Public̴House","White Hart Public House"
"222",2011,"Birmingham","White̴Hart̴Public̴House","White Hart Public House"
"223",2011,"Birmingham"," Whiteheart̴pub,̴Gressell̴Lane"," Whiteheart pub, Gressell Lane"
"224",2011,"Birmingham"," William̴Hill̴Bookmakers,̴Washwood̴Heath̴Road"," William Hill Bookmakers, Washwood Heath Road"
"225",2011,"Birmingham"," William̴Hill̴Bookmakers,̴Washwood̴Heath̴Road"," William Hill Bookmakers, Washwood Heath Road"
"226",2011,"Birmingham","William̴Hill̴Washwood̴Heath̴Road","William Hill Washwood Heath Road"
"227",2011,"Birmingham","Windward̴Road","Windward Road"
"228",2011,"Birmingham","Windward̴Road","Windward Road"
"229",2011,"Birmingham"," Wood̴End̴Road,̴Erdington"," Wood End Road, Erdington"
"230",2011,"Birmingham"," Woodbridge̴road,̴moseley"," Woodbridge road, moseley"
"231",2011,"Birmingham","Wright̴Street","Wright Street"
"232",2011,"Birmingham","yardley̴green̴road","yardley green road"
"233",2011,"Birmingham","yardley̴road̴acocks̴green","yardley road acocks green"
"234",2011,"Birmingham","Yardley̴Wood̴Road","Yardley Wood Road"
"235",2011,"Birmingham","Yardley̴Wood̴Road","Yardley Wood Road"
"236",2011,"Birmingham","Yew̴Tree̴car̴park","Yew Tree car park"
"237",2011,"Birmingham","Yew̴Tree̴Lane","Yew Tree Lane"
"238",2011,"Birmingham","Yew̴Tree̴public̴house̴car̴park.","Yew Tree public house car park."
"239",2011,"Birmingham"," Armada̴Pub,̴Slade̴Road,̴Erdington,̴Birmingham"," Armada Pub, Slade Road, Erdington, Birmingham"
"240",2011,"Birmingham"," Armarda̴Pub,̴̴Gravelly̴Hill"," Armarda Pub,  Gravelly Hill"
"241",2011,"Birmingham"," Armarda̴Pub,̴Gravelly̴Hill"," Armarda Pub, Gravelly Hill"
"242",2011,"Birmingham","BADGERS̴BANK̴ROAD","BADGERS BANK ROAD"
"243",2011,"Birmingham"," Baldmoor̴Lake̴Road,̴Erdington,̴Birmingham."," Baldmoor Lake Road, Erdington, Birmingham."
"244",2011,"Birmingham"," bandywood̴Rd,̴kingstanding"," bandywood Rd, kingstanding"
"245",2011,"Birmingham","Beckenham̴Road","Beckenham Road"
"246",2011,"Birmingham","Beeches̴Walk","Beeches Walk"
"247",2011,"Birmingham","BIRMINGHAM̴RD","BIRMINGHAM RD"
"248",2011,"Birmingham","BIRMINGHAM̴RD","BIRMINGHAM RD"
"249",2011,"Birmingham"," Birmingham̴Rd,̴SC"," Birmingham Rd, SC"
"250",2011,"Birmingham","Birmingham̴Road","Birmingham Road"
"251",2011,"Birmingham","Birmingham̴Road","Birmingham Road"
"252",2011,"Birmingham","birmingham̴road̴sutton","birmingham road sutton"
"253",2011,"Birmingham"," Birmingham̴Road,̴Erdington"," Birmingham Road, Erdington"
"254",2011,"Birmingham"," Birmingham̴Road,̴Sutton̴Coldfield"," Birmingham Road, Sutton Coldfield"
"255",2011,"Birmingham"," Birmingham̴Road,̴Sutton̴Coldfield"," Birmingham Road, Sutton Coldfield"
"256",2011,"Birmingham","BOWLING̴GREEN̴CLOSE","BOWLING GREEN CLOSE"
"257",2011,"Birmingham"," Bracebridge̴Road,̴Erdington"," Bracebridge Road, Erdington"
"258",2011,"Birmingham","brassington̴avenue","brassington avenue"
"259",2011,"Birmingham","Bromford̴Lane","Bromford Lane"
"260",2011,"Birmingham"," Bromford̴Lane,̴Erdington,̴B'ham"," Bromford Lane, Erdington, B'ham"
"261",2011,"Birmingham","Brookvale̴park̴Road","Brookvale park Road"
"262",2011,"Birmingham"," Carhampton̴Road,̴Falcon̴Lodge,̴Sutton̴Colfield"," Carhampton Road, Falcon Lodge, Sutton Colfield"
"263",2011,"Birmingham","Carshalton̴Road","Carshalton Road"
"264",2011,"Birmingham","carshorlton̴Road","carshorlton Road"
"265",2011,"Birmingham","chester̴rd","chester rd"
"266",2011,"Birmingham","CHESTER̴ROAD","CHESTER ROAD"
"267",2011,"Birmingham"," Chester̴Road,̴Halls̴garden̴Centre"," Chester Road, Halls garden Centre"
"268",2011,"Birmingham","CHURCH̴RD̴AT̴CHESTER̴RD","CHURCH RD AT CHESTER RD"
"269",2011,"Birmingham"," College̴Road,̴Kingstanding,̴B'ham"," College Road, Kingstanding, B'ham"
"270",2011,"Birmingham"," College̴Road,̴Kingstanding,̴B'ham"," College Road, Kingstanding, B'ham"
"271",2011,"Birmingham"," Copshill̴Court,̴Mount̴View,̴Sutton̴Coldfield"," Copshill Court, Mount View, Sutton Coldfield"
"272",2011,"Birmingham"," Dovedale̴Road,̴Erdington,̴B'ham"," Dovedale Road, Erdington, B'ham"
"273",2011,"Birmingham"," Downside̴Road,̴Erdington,̴B'ham"," Downside Road, Erdington, B'ham"
"274",2011,"Birmingham"," Eachelhurt̴Road,̴Erdington"," Eachelhurt Road, Erdington"
"275",2011,"Birmingham","ERDINGTON̴HALL̴ROAD","ERDINGTON HALL ROAD"
"276",2011,"Birmingham","ERDINGTON̴HALL̴ROAD","ERDINGTON HALL ROAD"
"277",2011,"Birmingham","Erdington̴High̴Street","Erdington High Street"
"278",2011,"Birmingham"," Fentham̴Road,̴Erdington,̴B'ham"," Fentham Road, Erdington, B'ham"
"279",2011,"Birmingham","FINCHLEY̴ROAD","FINCHLEY ROAD"
"280",2011,"Birmingham"," Finchley̴Road,̴Kingstanding,̴B'ham"," Finchley Road, Kingstanding, B'ham"
"281",2011,"Birmingham","GEORGE̴FREDERICK̴ROAD","GEORGE FREDERICK ROAD"
"282",2011,"Birmingham","Golden̴Pond̴take̴away̴�����̴Boldmere̴Road","Golden Pond take away ����� Boldmere Road"
"283",2011,"Birmingham","good̴hope̴hospital","good hope hospital"
"284",2011,"Birmingham","Gracechurch̴Centre","Gracechurch Centre"
"285",2011,"Birmingham"," Gracechurch̴centre,̴outside̴Supercigs"," Gracechurch centre, outside Supercigs"
"286",2011,"Birmingham"," GraceChurch̴Shopping̴Centre,̴Sutton̴Coldfield"," GraceChurch Shopping Centre, Sutton Coldfield"
"287",2011,"Birmingham"," grassed̴area̴,̴pype̴hayes̴park...."," grassed area , pype hayes park...."
"288",2011,"Birmingham","Gravelley̴lane","Gravelley lane"
"289",2011,"Birmingham","Gravelley̴lane","Gravelley lane"
"290",2011,"Birmingham","Gravelley̴lane","Gravelley lane"
"291",2011,"Birmingham"," Gravelly̴Lane,̴Erdington,̴Birmingham"," Gravelly Lane, Erdington, Birmingham"
"292",2011,"Birmingham","hairy̴lemon̴pub̴.sutton̴coldfield","hairy lemon pub .sutton coldfield"
"293",2011,"Birmingham","hairy̴lemon̴pub̴.sutton̴coldfield","hairy lemon pub .sutton coldfield"
"294",2011,"Birmingham","Hermatige̴Road","Hermatige Road"
"295",2011,"Birmingham","Hermatige̴Road","Hermatige Road"
"296",2011,"Birmingham","HERMITAGE̴DRIVE","HERMITAGE DRIVE"
"297",2011,"Birmingham","High̴Street","High Street"
"298",2011,"Birmingham","high̴street̴erdington","high street erdington"
"299",2011,"Birmingham"," high̴street,̴erdington"," high street, erdington"
"300",2011,"Birmingham"," High̴Street,̴Erdington"," High Street, Erdington"
"301",2011,"Birmingham"," High̴Street,̴S/C"," High Street, S/C"
"302",2011,"Birmingham"," High̴Street,̴S/C"," High Street, S/C"
"303",2011,"Birmingham","Hight̴St̴ErdINGTON","Hight St ErdINGTON"
"304",2011,"Birmingham","HUNTON̴HILL","HUNTON HILL"
"305",2011,"Birmingham"," KFC̴retail̴outlet̴,̴Erdington̴High̴street"," KFC retail outlet , Erdington High street"
"306",2011,"Birmingham"," Kingsbury̴Road,̴Erdington,̴B'ham"," Kingsbury Road, Erdington, B'ham"
"307",2011,"Birmingham","Kingstanding̴Circle","Kingstanding Circle"
"308",2011,"Birmingham"," Ladywell̴Walk,̴Birmingham"," Ladywell Walk, Birmingham"
"309",2011,"Birmingham","Landsdown̴Road","Landsdown Road"
"310",2011,"Birmingham"," LICHFIELD̴ROAD,̴MERE̴GREEN"," LICHFIELD ROAD, MERE GREEN"
"311",2011,"Birmingham"," LICHFIELD̴ROAD,̴SUTTON̴COLDFIELD"," LICHFIELD ROAD, SUTTON COLDFIELD"
"312",2011,"Birmingham"," Lindridge̴Road,̴Sutton̴Coldfield"," Lindridge Road, Sutton Coldfield"
"313",2011,"Birmingham","little̴aston̴lane","little aston lane"
"314",2011,"Birmingham","LONGFORD̴ROAD","LONGFORD ROAD"
"315",2011,"Birmingham"," Longford̴Road,̴Kingstanding,̴B'ham"," Longford Road, Kingstanding, B'ham"
"316",2011,"Birmingham","lower̴parade","lower parade"
"317",2011,"Birmingham","LOWER̴PARADE","LOWER PARADE"
"318",2011,"Birmingham","lower̴parade","lower parade"
"319",2011,"Birmingham","lower̴parade","lower parade"
"320",2011,"Birmingham","lower̴parade","lower parade"
"321",2011,"Birmingham","lower̴parade","lower parade"
"322",2011,"Birmingham","LOWER̴PARADE","LOWER PARADE"
"323",2011,"Birmingham","Lower̴Parade","Lower Parade"
"324",2011,"Birmingham","Lower̴Parade","Lower Parade"
"325",2011,"Birmingham","LOWER̴PARADE","LOWER PARADE"
"326",2011,"Birmingham","Lower̴Parade","Lower Parade"
"327",2011,"Birmingham","LOWER̴PARADE","LOWER PARADE"
"328",2011,"Birmingham","Lower̴Parade","Lower Parade"
"329",2011,"Birmingham","LOWER̴PARADE","LOWER PARADE"
"330",2011,"Birmingham","LOWER̴PARADE","LOWER PARADE"
"331",2011,"Birmingham","Lower̴Parade","Lower Parade"
"332",2011,"Birmingham","Lower̴Parade","Lower Parade"
"333",2011,"Birmingham","Lower̴Parade","Lower Parade"
"334",2011,"Birmingham","LOWER̴PARADE","LOWER PARADE"
"335",2011,"Birmingham","lower̴parade̴SC","lower parade SC"
"336",2011,"Birmingham","LOWER̴PARADE̴SUTTON","LOWER PARADE SUTTON"
"337",2011,"Birmingham","Lower̴Parade̴Sutton̴Coldfield","Lower Parade Sutton Coldfield"
"338",2011,"Birmingham"," lower̴parade,"," lower parade,"
"339",2011,"Birmingham"," Lower̴parade,̴Suton̴Coldfield"," Lower parade, Suton Coldfield"
"340",2011,"Birmingham"," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield"
"341",2011,"Birmingham"," lower̴parade,̴sutton̴coldfield"," lower parade, sutton coldfield"
"342",2011,"Birmingham"," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield"
"343",2011,"Birmingham"," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield"
"344",2011,"Birmingham"," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield"
"345",2011,"Birmingham"," Lower̴Parade,̴Sutton̴Coldfield"," Lower Parade, Sutton Coldfield"
